"country","decision_year","K_mean","K_p05","K_p95","t0_mean","t0_p05","t0_p95","s_mean","s_p05","s_p95","p_mean","p_p05","p_p95","head_mean","head_p05","head_p95","rel_mean","rel_p05","rel_p95","dpdt_mean","dpdt_p05","dpdt_p95","d2pdt2_mean","d2pdt2_p05","d2pdt2_p95","t0_year_mean","years_since_t0_2026","accel_status_2026","last_obs_year","last_obs_mcpr","head_lastobs_mean","rel_lastobs_mean","room_rel_lastobs","r_growth","r_head_lastobs","r_room_lastobs","leverage_head_lastobs","leverage_rel_lastobs","leverage_lastobs","phase_lastobs","phase_priority_lastobs"
"Bolivia",2026,0.893813477255318,0.781184249057987,0.977736050738132,22.747457521758,19.8174982286939,24.708680750775,16.3978735647939,16.3978735647939,16.3978735647939,0.489988451007451,0.462119351245439,0.509431390132334,0.403825026247866,0.317488937207585,0.469184970900126,0.549342362320058,0.51967712950051,0.593156744849621,0.0134804115957268,0.0115069696484955,0.0148797781296106,-7.89812966588653e-05,-0.000130225280057778,-3.56241706580989e-05,2023,3.25254247824205,"Decelerating",2008,0.239682537052928,0.65413094020239,0.268157219769089,0.731842780230911,0.967741935483871,1,0.967741935483871,0.967741935483871,0.936524453694069,0.94901144640999,"Scale-up",1
"Burkina Faso",2026,0.884530673842804,0.796300454544225,0.960552845344961,31.1915317337825,29.4083746750834,32.6372131743007,13.006980724418,13.006980724418,13.006980724418,0.354586958449312,0.344812707202394,0.363184271555603,0.529943715393492,0.451203784237741,0.599742098163553,0.401616902430454,0.375127690150995,0.434861816517286,0.0163168085494439,0.0150369357643822,0.0173430426598848,0.000248222246427463,0.000150514722851413,0.000332209243786284,2031,-5.19153173378254,"Accelerating",2021,0.279405982804968,0.605124691037836,0.315880490148636,0.684119509851364,1,0.967741935483871,0.935483870967742,0.967741935483871,0.935483870967742,0.948387096774194,"Scale-up",1
"Sierra Leone",2026,0.819623666086235,0.683364351925494,0.943796247067357,29.6374250509953,26.4537782894137,32.1577323528799,13.006980724418,13.006980724418,13.006980724418,0.351077519272969,0.334710850194396,0.364336577013524,0.468546146813266,0.347584047669428,0.581877859177652,0.430757542241612,0.383807686018833,0.491279062389319,0.0153799682683273,0.0131289246462754,0.0171871826344019,0.000168478464399974,1.77283685030428e-05,0.000306871087178349,2030,-3.63742505099526,"Accelerating",2019,0.239284596691412,0.580339069394823,0.291944469873612,0.708055530126388,0.983870967741935,0.951612903225806,0.951612903225806,0.936264308012487,0.936264308012487,0.936264308012487,"Scale-up",1
"Niger",2026,0.613821143139582,0.484251465866286,0.682597539934292,33.5805865687678,30.0968790227431,34.9471049400645,13.006980724418,13.006980724418,13.006980724418,0.21892235503363,0.203084532623371,0.230748365204337,0.394898788105952,0.281226136113637,0.452801155422511,0.358595381741812,0.334507187672879,0.421900765814597,0.0108050477421606,0.0090765049074097,0.0117251889897981,0.000237273348212569,0.00010951271046273,0.000294711901622409,2034,-7.58058656876779,"Accelerating",2012,0.109933234846429,0.503887908293153,0.179096526854941,0.820903473145059,0.935483870967742,0.935483870967742,1,0.875130072840791,0.935483870967742,0.911342351716961,"Scale-up",1
"Cambodia",2026,0.937858502722613,0.884204561925249,0.973639358959765,33.8581174761965,32.3103006892269,34.8170232920174,19.0861504324915,19.0861504324915,19.0861504324915,0.373573380313239,0.36781861900003,0.378725057429799,0.564285122409374,0.514551241888164,0.596848182024586,0.398528062985166,0.386521143897749,0.418089295591651,0.0117733150639118,0.0112686962475612,0.0121103562141929,0.000125368697695211,9.69569249398089e-05,0.000143494626432703,2034,-7.85811747619664,"Accelerating",2021,0.311853461296957,0.626005041425656,0.332516536760762,0.667483463239238,0.951612903225806,0.983870967741935,0.919354838709677,0.936264308012487,0.874869927159209,0.89942767950052,"Scale-up",1
"Gambia",2026,0.469038491724904,0.404150927164773,0.506481839646029,34.0404708719277,31.6266722177999,34.9562017361014,13.006980724418,13.006980724418,13.006980724418,0.163945286307124,0.156413988249979,0.171170770827973,0.30509320541778,0.245296735259011,0.33589184990773,0.350352133024519,0.334351515673739,0.393508355889832,0.00819038078706796,0.0073964183671628,0.008695844841598,0.000189142902387083,0.000121592509416793,0.000218886101468802,2034,-8.04047087192771,"Accelerating",2019,0.122295761745874,0.34674272997903,0.26073715463336,0.73926284536664,0.870967741935484,0.887096774193548,0.983870967741935,0.772632674297607,0.856919875130073,0.823204994797086,"Scale-up",1
"Nicaragua",2026,0.890334760309278,0.754188687969245,0.977188896992018,1.63215111200137,-3.82591107158268,4.60712821455438,16.3978735647939,16.3978735647939,16.3978735647939,0.724102650741738,0.648646331783776,0.770052473890693,0.166232109567539,0.105358632924698,0.208266167445148,0.814608848832224,0.786610245532109,0.860432756431299,0.00822500356002933,0.00552654867646835,0.00999244854170608,-0.000312744316100518,-0.000349623746440636,-0.000242852565720754,2002,24.3678488879987,"Decelerating",2001,0.43943110151825,0.450903658791028,0.49355716648152,0.50644283351848,0.887096774193548,0.919354838709677,0.854838709677419,0.815556711758585,0.758324661810614,0.781217481789802,"Scale-up",1
"Togo",2026,0.395924455365838,0.323739693821268,0.49681321141938,16.6916937187534,12.6915602050874,21.1596995792752,13.006980724418,13.006980724418,13.006980724418,0.263966844789618,0.237012603833706,0.295480236065436,0.13195761057622,0.0856102892830763,0.202101393475972,0.670656589349885,0.59197379661894,0.735590922104117,0.00672221149047447,0.00483806718802383,0.00922182201630585,-0.000170281938714352,-0.000184078396976979,-0.000129718271531197,2017,9.30830628124659,"Decelerating",2013,0.167395012737612,0.228529442628226,0.42279533499121,0.57720466500879,0.838709677419355,0.854838709677419,0.887096774193548,0.716961498439126,0.744016649323621,0.733194588969823,"Scale-up",1
"Brazil",2026,0.950655324352702,0.891251957447416,0.989226664288712,-5.08750697198993,-7.12060591742958,-3.76113777090689,16.3978735647939,16.3978735647939,16.3978735647939,0.826254372152486,0.786374294505864,0.851482749339839,0.124400952200215,0.104643268612842,0.138288804753223,0.869298549812515,0.859957720071587,0.882861467883806,0.00659162915488568,0.00562938746263033,0.00725229290235815,-0.000296591469527331,-0.000318395647389559,-0.000262839637549182,1995,31.08750697199,"Decelerating",1996,0.51012992044576,0.440525403906942,0.536608702836757,0.463391297163243,0.82258064516129,0.903225806451613,0.790322580645161,0.742976066597295,0.650104058272633,0.687252861602497,"Scale-up",1
"Mali",2026,0.356354754363702,0.32365255253492,0.393739253104679,22.7573357076643,20.778238865647,24.7724962118167,13.006980724418,13.006980724418,13.006980724418,0.199903846742439,0.192939098468729,0.207196582006803,0.156450907621263,0.130031341468304,0.18720867584153,0.561912787150471,0.523575678078301,0.599037995994752,0.0067373350007403,0.0059795476322626,0.00755146574156472,-6.29739715418776e-05,-9.09682259420146e-05,-2.73564266492276e-05,2023,3.2426642923358,"Decelerating",2023,0.180591149097891,0.175763605265811,0.5067735083831,0.4932264916169,0.854838709677419,0.741935483870968,0.838709677419355,0.63423517169615,0.716961498439126,0.683870967741935,"Scale-up",1
