"country","region","latest_obs_year","latest_obs_mcpr","projected_latest_mean","projected_latest_p05","projected_latest_p95","projection_gap","abs_projection_gap","status_latest_projection"
"Zimbabwe","East/Southern Africa",2015,0.478755957265201,0.435057175213598,0.42885909782159,0.441481289560523,0.0436987820516032,0.0436987820516032,"Overperforming"
"Mozambique","East/Southern Africa",2022,0.250311161307126,0.220407940876,0.214470418219303,0.226446862886841,0.0299032204311257,0.0299032204311257,"Overperforming"
"India","South Asia",2019,0.426744431117534,0.39789400569398,0.397098692220427,0.398696495868298,0.028850425423554,0.028850425423554,"Overperforming"
"Brazil","Latin America and Carribbean",1996,0.51012992044576,0.490737231589109,0.483851115818455,0.497597511616623,0.0193926888566509,0.0193926888566509,"Overperforming"
"Morocco","Middle East and North Africa",2003,0.2899759595683,0.271843264133755,0.26522647286513,0.278604375237107,0.018132695434545,0.018132695434545,"Overperforming"
"Kenya","East/Southern Africa",2022,0.419868867938313,0.402536777718274,0.398474233621141,0.406580469332354,0.0173320902200392,0.0173320902200392,"Overperforming"
"Kazakhstan","Europe and Central Asia",1999,0.386694510932913,0.370140000045876,0.359394883935836,0.38051159044658,0.0165545108870368,0.0165545108870368,"Overperforming"
"Bangladesh","South Asia",2022,0.520711393975091,0.507765477333871,0.50402603640144,0.511488197255052,0.0129459166412197,0.0129459166412197,"Overperforming"
"Armenia","Europe and Central Asia",2016,0.181349671590196,0.169110526884348,0.163735810865274,0.174277558820766,0.0122391447058483,0.0122391447058483,"Overperforming"
"Niger","West Africa",2012,0.109933234846429,0.0977076647154885,0.0937424400292148,0.101733704524338,0.0122255701309405,0.0122255701309405,"Overperforming"
"Uganda","East/Southern Africa",2016,0.272883816057891,0.260681273005229,0.255106383713954,0.266230506619883,0.0122025430526618,0.0122025430526618,"Overperforming"
"Liberia","West Africa",2019,0.253048793498329,0.241317559825072,0.232894501849316,0.250066220913622,0.0117312336732567,0.0117312336732567,"Overperforming"
