"country","target_rel_sat","target_99pct_K_mean","target_99pct_K_p05","target_99pct_K_p95","year_reach_99pctK_mean","year_reach_99pctK_p05","year_reach_99pctK_p95","years_from_latest_to_99pctK_mean","years_from_latest_to_99pctK_p05","years_from_latest_to_99pctK_p95","region","latest_obs_year","latest_obs_mcpr","status_99pctK"
"Egypt",0.99,0.535511232250818,0.531536243562305,0.539495387562481,2011.72390375418,2011.3604547196,2012.06418833572,0,0,0,"Middle East and North Africa",2014,0.534797998505597,"Already near 99% of K"
"Gabon",0.99,0.20075861251172,0.194929874048392,0.206583910649557,1999.16551438706,1993.38224058731,2009.90858334662,0,0,0,"Central Africa",2019,0.171286150617783,"Already near 99% of K"
"India",0.99,0.395879330516198,0.395029987017215,0.396729484516051,2013.59765497856,2013.07121977723,2014.10829925021,0,0,0,"South Asia",2019,0.426744431117534,"Already near 99% of K"
"Jordan",0.99,0.380768906322592,0.37693396118813,0.384530052955376,2010.59823535413,2009.81925958974,2011.31558032387,0,0,0,"Middle East and North Africa",2023,0.354163935467088,"Already near 99% of K"
"Maldives",0.99,0.176229344645366,0.170104029031327,0.182388711421034,2003.54988231123,2001.2757903417,2008.69873319291,0,0,0,"South Asia",2016,0.106443930762969,"Already near 99% of K"
"South Africa",0.99,0.48703220923302,0.480094387885073,0.494371368996665,2001.28943396167,1999.38643750741,2005.06080466382,0,0,0,"East/Southern Africa",2016,0.478773473282353,"Already near 99% of K"
"Nepal",0.99,0.340728894753788,0.335705383624676,0.345800247631438,2020.53259448667,2019.05039209554,2021.86391187754,0.00334928983956001,0,0,"South Asia",2022,0.327459191187039,"Already near 99% of K"
"Morocco",0.99,0.272361198149729,0.264955752091336,0.279945283566587,2003.8670225657,2001.50183475484,2005.73401153755,1.00466651353387,0,2.7340115375499,"Middle East and North Africa",2003,0.2899759595683,"Below 99% of K"
"Bangladesh",0.99,0.509314791065745,0.50523848195707,0.513366277454232,2024.0306649724,2023.48266803808,2024.56361779489,2.03066497240286,1.48266803808403,2.56361779488694,"South Asia",2022,0.520711393975091,"Below 99% of K"
"Zimbabwe",0.99,0.439443472514661,0.43262934528719,0.446537475815369,2020.02938554507,2019.21641002814,2020.81769045017,5.02938554506687,4.21641002814475,5.81769045017278,"East/Southern Africa",2015,0.478755957265201,"Below 99% of K"
"Kenya",0.99,0.408749744700989,0.404243905691773,0.413234316767416,2028.74743211196,2028.30755902394,2029.18652917081,6.74743211196432,6.30755902394035,7.18652917081263,"East/Southern Africa",2022,0.419868867938313,"Below 99% of K"
"Cameroon",0.99,0.173655258164037,0.168498548510699,0.178828774146471,2024.78668351606,2023.96401252812,2025.58066983278,6.78668351606386,5.96401252811775,7.58066983278152,"Central Africa",2018,0.163836351658967,"Below 99% of K"
"Comoros",0.99,0.100002294350555,0.0902122956540265,0.110440669406535,2019.18196523102,2007.94461388309,2024.75842039968,7.43583587874687,0,12.758420399677,"East/Southern Africa",2012,0.0985179320706266,"Below 99% of K"
"Congo Democratic Republic",0.99,0.10049381569774,0.0965332664241459,0.104537591047273,2030.80525901162,2029.27242531153,2032.19387483707,7.80525901161818,6.27242531152768,9.19387483707174,"Central Africa",2023,0.0989393506970059,"Below 99% of K"
"Tanzania",0.99,0.280494423065885,0.274564275386951,0.286517386438188,2032.8053601009,2032.26985367235,2033.34131283504,10.805360100895,10.2698536723473,11.3413128350359,"East/Southern Africa",2022,0.25425034401086,"Below 99% of K"
"Mozambique",0.99,0.228117460542551,0.221236332101523,0.235203623008836,2032.85925122247,2032.03816259096,2033.65157701551,10.8592512224723,10.0381625909607,11.6515770155142,"East/Southern Africa",2022,0.250311161307126,"Below 99% of K"
"Yemen",0.99,0.293623585186348,0.285033807632601,0.302319845155965,2024.67219881835,2023.84210908882,2025.48015929095,11.6721988183459,10.8421090888207,12.480159290946,"Middle East and North Africa",2013,0.274062929893469,"Below 99% of K"
"Angola",0.99,0.145038475455226,0.134595981586858,0.155760811125092,2034.84212010871,2027.01909440847,2039.32472341227,11.9315859007458,4.0190944084701,16.3247234122664,"East/Southern Africa",2023,0.139111969545999,"Below 99% of K"
"Zambia",0.99,0.393893301776255,0.387357676834916,0.400686257475495,2036.19696211401,2035.73163982185,2036.64515752099,12.1969621140078,11.7316398218531,12.6451575209945,"East/Southern Africa",2024,0.384288593842627,"Below 99% of K"
"Pakistan",0.99,0.267468308626841,0.260259756400783,0.274795917784963,2031.67229054399,2030.67250765966,2032.65274664419,14.6722905439898,13.6725076596618,15.6527466441934,"South Asia",2017,0.243493277721387,"Below 99% of K"
"Namibia",0.99,0.538983741817387,0.527689322203748,0.550483893829518,2027.98783982238,2027.32567208799,2028.64940176393,14.9878398223788,14.3256720879916,15.6494017639299,"East/Southern Africa",2013,0.497159535693403,"Below 99% of K"
"Malawi",0.99,0.561935792222911,0.554026164412012,0.569717736861496,2039.32398203055,2038.98305755629,2039.66085884531,15.3239820305512,14.9830575562911,15.6608588453048,"East/Southern Africa",2024,0.5296723957499,"Below 99% of K"
"Lesotho",0.99,0.582852899646766,0.568466118317102,0.597662287856025,2038.37621453769,2037.75605541861,2038.99575168178,15.3762145376919,14.7560554186081,15.9957516817833,"East/Southern Africa",2023,0.532158420005745,"Below 99% of K"
"Madagascar",0.99,0.393879759147294,0.383911090932365,0.403662915287143,2040.36358764731,2039.87365740161,2040.8299193269,19.3635876473132,18.8736574016147,19.8299193269027,"East/Southern Africa",2021,0.340949162587376,"Below 99% of K"
"Uganda",0.99,0.298929462255318,0.289848845310514,0.308280073613937,2035.8924279547,2035.21023334141,2036.57334084037,19.8924279547002,19.2102333414076,20.5733408403711,"East/Southern Africa",2016,0.272883816057891,"Below 99% of K"
"Chad",0.99,0.0651519613496156,0.0568822329526379,0.0751908604299364,2035.24542088356,2033.25542858363,2037.37241880738,21.2454208835648,19.2554285836326,23.3724188073754,"Central Africa",2014,0.0484411769242257,"Below 99% of K"
"Congo",0.99,0.349616912485617,0.30878221590015,0.398305935266288,2034.88403881555,2033.2040678429,2036.5526582918,23.8840388155542,22.2040678429029,25.5526582917989,"Central Africa",2011,0.222894903296517,"Below 99% of K"
