"country","region","last_obs_year","last_obs_mcpr","prob_ever_reach_40","projected_year_reach_40_p50","projected_year_reach_40","projected_year_reach_40_p05","projected_year_reach_40_p95","projected_years_from_latest_to_40","required_growth_to_40_10y","model_dpdt_2025_mean","model_dpdt_2025_p05","model_dpdt_2025_p95","model_dpdt_lastobs_mean","model_dpdt_lastobs_p05","model_dpdt_lastobs_p95","latest_obs_interval_growth","mean_obs_interval_growth","max_obs_interval_growth","min_obs_interval_growth","n_intervals","investment_phase","leverage","K_mean","t0_year_mean","years_since_t0_2026","dpdt_mean_2026","s_curve_stage","last_obs_rel_sat_mean","years_since_t0_lastobs_mean","target40_status","required_growth_pp_per_year","latest_obs_interval_growth_pp_per_year","max_obs_interval_growth_pp_per_year","model_dpdt_2025_pp_per_year","model_dpdt_lastobs_pp_per_year","model_dpdt_2026_pp_per_year"
"Burkina Faso","West Africa",2021,0.279405982804968,1,2028.71484652194,2028.75039412445,2028.11105031683,2029.60562706129,7.75039412445317,0.0120594017195032,0.0160478503612605,0.0148611459385741,0.0169924453523839,0.0146115301006978,0.0137963152017181,0.015258442522353,0.0124370705032564,0.00793980720819193,0.0124370705032564,0.00300695726022862,4,"Scale-up",0.964516129032258,0.884530673842804,2031,-5.19153173378254,0.0163168085494439,"Stage 2: diffusion",0.316640127852519,-10.1915317337825,"Projected to cross by 2035",1.20594017195032,1.24370705032564,1.24370705032564,1.60478503612605,1.46115301006978,1.63168085494439
"Sierra Leone","West Africa",2019,0.239284596691412,1,2029.08159809062,2029.20470096747,2028.05878398013,2030.98857562669,10.2047009674666,0.0160715403308588,0.015190699275217,0.0130882624185469,0.0168654829354804,0.0133113825582967,0.012108717283733,0.0142339621336581,0.00508219195524317,0.0152268056506592,0.0253714193460751,0.00508219195524317,2,"Scale-up",0.933090530697191,0.819623666086235,2030,-3.63742505099526,0.0153799682683273,"Stage 2: diffusion",0.294127639865607,-10.6374250509953,"Projected to cross by 2035",1.60715403308588,0.508219195524317,2.53714193460751,1.5190699275217,1.33113825582967,1.53799682683273
"Niger","West Africa",2012,0.109933234846429,0.998333333333333,2041.43124366943,2042.25910455608,2039.2953564656,2050.02375668795,30.2591045560832,0.0290066765153571,0.0105562257239049,0.00895737876612456,0.0114222982378305,0.00630773511206265,0.00589588023634221,0.00663094863130438,0.0107538934923814,0.00480555115966378,0.0107538934923814,0.000161557630552951,3,"Scale-up",0.902289281997919,0.613821143139582,2034,-7.58058656876779,0.0108050477421606,"Stage 1: initial",0.1805508007244,-21.5805865687678,"Projected to cross after 2035",2.90066765153571,1.07538934923814,1.07538934923814,1.05562257239049,0.630773511206265,1.08050477421606
"Togo","West Africa",2013,0.167395012737612,0.416333333333333,2053.0340493685,2056.13065242674,2037.45899880273,2092.68946417851,43.1306524267425,0.0232604987262388,0.0068856891788472,0.00501177846497638,0.0093382374655685,0.00739243402542851,0.0062223518628751,0.00869767302256639,0.00591781016525635,0.00517898857175699,0.00591781016525635,0.00444016697825762,2,"Scale-up",0.689906347554631,0.395924455365838,2017,9.30830628124659,0.00672221149047447,"Stage 2: diffusion",0.427795211743926,-3.69169371875343,"Projected to cross after 2035",2.32604987262388,0.591781016525635,0.591781016525635,0.68856891788472,0.739243402542851,0.672221149047447
"Gambia","West Africa",2019,0.122295761745874,0.979333333333333,2056.18663730694,2057.7750246545,2052.02143360924,2073.67126751658,38.7750246545011,0.0277704238254126,0.00799277045823677,0.00726581071102946,0.00846793778398863,0.0065511619312092,0.00614842705123649,0.00688008632695586,0.00953634545446252,0.00953634545446252,0.00953634545446252,0.00953634545446252,1,"Scale-up",0.842872008324662,0.469038491724904,2034,-8.04047087192771,0.00819038078706796,"Stage 2: diffusion",0.261601663383597,-15.0404708719277,"Projected to cross after 2035",2.77704238254126,0.953634545446252,0.953634545446252,0.799277045823677,0.65511619312092,0.819038078706796
"Liberia","West Africa",2019,0.253048793498329,0.175,2060.87888273636,2064.5594549453,2043.5002825118,2107.03291166081,45.5594549453026,0.0146951206501671,0.00568487612864528,0.00452284535897828,0.00704649122635701,0.00674256115648092,0.00561578613514851,0.00798911623939928,0.00798536056370316,0.0083001641106491,0.0146558451497242,0.00225928661851997,3,"Scale-up",0.576899063475546,0.379816393168445,2012,14.3367173316024,0.00547884330499082,"Stage 2: diffusion",0.668497438545599,7.33671733160238,"Projected to cross after 2035",1.46951206501671,0.798536056370316,1.46558451497242,0.568487612864528,0.674256115648092,0.547884330499082
"Mali","West Africa",2023,0.180591149097891,0.014,2079.62784194532,2082.75107149653,2062.53708384531,2108.20296311979,59.7510714965256,0.0219408850902109,0.00679072697167618,0.00606103133689939,0.00756772948585686,0.00683850076915174,0.00617646683403385,0.0075284654972926,0.0052866972603728,0.00453369558684571,0.00974714658311098,-0.00135966606201942,6,"Scale-up",0.733506763787721,0.356354754363702,2023,3.2426642923358,0.0067373350007403,"Stage 2: diffusion",0.508051824654033,0.242664292335698,"Projected to cross after 2035",2.19408850902109,0.52866972603728,0.974714658311098,0.679072697167618,0.683850076915174,0.67373350007403
"Benin","West Africa",2017,0.116720137394299,0,NA,NA,NA,NA,NA,0.0283279862605701,0.00357671611577808,0.00280150523203629,0.00450271147675539,0.00407727214956455,0.00343487311745265,0.00478577583220682,0.00544303486227996,0.00398392470841538,0.00719359190045148,-0.000201205735519319,4,"Build / monitor",0.458584807492196,0.213962206898084,2015,10.8628641130863,0.00347630679931969,"Stage 2: diffusion",0.548626666712466,1.86286411308635,"Not projected to cross",2.83279862605701,0.544303486227996,0.719359190045148,0.357671611577808,0.407727214956455,0.347630679931969
"Cote d'Ivoire","West Africa",2021,0.190186155243145,0,NA,NA,NA,NA,NA,0.0209813844756855,0.00376767560247101,0.0032144914947362,0.00438074689955533,0.00433998624148625,0.00377749255615224,0.00495138107647598,0.00566797879257944,0.00631429431720999,0.0103499627389293,0.00292494142012121,3,"Build / monitor",0.422372528616025,0.269058087099917,2010,16.0581408688286,0.00361653990256557,"Stage 2: diffusion",0.707811836763035,11.0581408688287,"Not projected to cross",2.09813844756855,0.566797879257944,1.03499627389293,0.376767560247101,0.433998624148625,0.361653990256557
"Ghana","West Africa",2022,0.234376863828137,0,NA,NA,NA,NA,NA,0.0165623136171863,0.00345837670664249,0.00306498355637634,0.00388128260737255,0.00396009087145457,0.00354006749971475,0.0044081273090864,0.00659205819770813,0.00533375329676226,0.0092219967514338,-0.0035642059396894,6,"Build / monitor",0.36576482830385,0.29535843606745,2006,20.0995195976843,0.00329341785114794,"Stage 2: diffusion",0.794013282323144,16.0995195976843,"Not projected to cross",1.65623136171863,0.659205819770813,0.92219967514338,0.345837670664249,0.396009087145457,0.329341785114794
