"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR"
1,"Albania","AL2008DHS",2008,7584,7583.99985200005,0.0787881348444937,7.87881348444937,0.003888581891579,0.3888581891579,2008,0,598,7584,8,NA,NA,NA,0.0787881348444937,-2.45892763548445
2,"Albania","AL2017DHS",2017,10860,10970.089671,0.0281316859073467,2.81316859073467,0.0022050069264504,0.22050069264504,2008,9,309,10970,17,NA,NA,NA,0.0281316859073467,-3.54232376253025
3,"Angola","AO2015DHS",2015,14379,14379.000241,0.124655857497596,12.4655857497596,0.00386146400916668,0.386146400916668,2015,0,1792,14379,15,NA,NA,NA,0.124655857497596,-1.9490603143276
4,"Angola","AO2023DHS",2023,14717,14716.9999869999,0.139111969545999,13.9111969545999,0.00412627408969718,0.412627408969718,2015,8,2047,14717,23,NA,NA,NA,0.139111969545999,-1.82268530487811
5,"Armenia","AM2000DHS",2000,6430,6430.00021299979,0.144491391170042,14.4491391170042,0.00466217382531164,0.466217382531164,2000,0,929,6430,0,NA,NA,NA,0.144491391170042,-1.77847622710402
6,"Armenia","AM2005DHS",2005,6566,6566.00009800003,0.122794163260154,12.2794163260154,0.00515091657210338,0.515091657210338,2000,5,806,6566,5,NA,NA,NA,0.122794163260154,-1.96623218622313
7,"Armenia","AM2010DHS",2010,5922,5922.00002500003,0.169397569700279,16.9397569700279,0.00608717284797235,0.608717284797235,2000,10,1003,5922,10,NA,NA,NA,0.169397569700279,-1.58990282154961
8,"Armenia","AM2016DHS",2016,6116,6115.99998100002,0.181349671590196,18.1349671590196,0.00561251612353576,0.561251612353576,2000,16,1109,6116,16,NA,NA,NA,0.181349671590196,-1.50722998843539
9,"Bangladesh","BD1994DHS",1994,9493,9494.89886100117,0.34538425032301,34.538425032301,0.00503389295287494,0.503389295287494,1994,0,3279,9495,-6,NA,NA,NA,0.34538425032301,-0.639390855476191
10,"Bangladesh","BD1997DHS",1997,8981,8981.98395400022,0.394988881205925,39.4988881205925,0.00538821878691269,0.538821878691269,1994,3,3548,8982,-3,NA,NA,NA,0.394988881205925,-0.426389220374813
11,"Bangladesh","BD2000DHS",2000,10373,10357.8980259998,0.409561813637421,40.9561813637421,0.00516032332299615,0.516032332299615,1994,6,4242,10358,0,NA,NA,NA,0.409561813637421,-0.365777109038092
12,"Bangladesh","BD2004DHS",2004,11300,11290.4464170003,0.444745392745431,44.4745392745431,0.00518532785528814,0.518532785528814,1994,10,5021,11290,4,NA,NA,NA,0.444745392745431,-0.22192479307057
13,"Bangladesh","BD2007DHS",2007,10996,10995.9999450001,0.44416779905685,44.416779905685,0.00550240256127928,0.550240256127928,1994,13,4884,10996,7,NA,NA,NA,0.44416779905685,-0.224264034995934
14,"Bangladesh","BD2011DHS",2011,17749,17748.999437,0.487851860311031,48.7851860311031,0.00425608414508189,0.425608414508189,1994,17,8659,17749,11,NA,NA,NA,0.487851860311031,-0.0486021236885577
15,"Bangladesh","BD2014DHS",2014,17863,17862.9996979998,0.510129864583738,51.0129864583738,0.00496914680269651,0.496914680269651,1994,20,9112,17863,14,NA,NA,NA,0.510129864583738,0.0405250035273702
16,"Bangladesh","BD2017DHS",2017,20127,20127.0002830008,0.489543430439649,48.9543430439649,0.00391831821120818,0.391831821120818,1994,23,9853,20127,17,NA,NA,NA,0.489543430439649,-0.0418323775471869
17,"Bangladesh","BD2022DHS",2022,30078,20028.6062830012,0.520711393975091,52.0711393975091,0.00395566714707565,0.395566714707565,1994,28,10429,20029,22,NA,NA,NA,0.520711393975091,0.0828930081961713
18,"Benin","BJ1996DHS",1996,5491,5491.00055100004,0.0335413654195421,3.35413654195421,0.00246931301778498,0.246931301778498,1996,0,184,5491,-4,NA,NA,NA,0.0335413654195421,-3.36085903279043
19,"Benin","BJ2001DHS",2001,6219,6218.99987499994,0.0695093249217995,6.95093249217995,0.00325103928235206,0.325103928235206,1996,5,432,6219,1,NA,NA,NA,0.0695093249217995,-2.59425113951508
20,"Benin","BJ2006DHS",2006,17794,17794.0000529997,0.0685032962442029,6.85032962442029,0.00196292378941792,0.196292378941792,1996,10,1219,17794,6,NA,NA,NA,0.0685032962442029,-2.6099107869305
21,"Benin","BJ2012DHS",2012,16599,16599.0000870003,0.0895049630828992,8.95049630828992,0.00237443360108904,0.237443360108904,1996,16,1486,16599,12,NA,NA,NA,0.0895049630828992,-2.31969437102704
22,"Benin","BJ2017DHS",2017,15928,15928.000005,0.116720137394299,11.6720137394299,0.00273304661562655,0.273304661562655,1996,21,1859,15928,17,NA,NA,NA,0.116720137394299,-2.02386301423962
23,"Bolivia","BO1989DHS",1989,7923,7923.00033700036,0.0802754319004343,8.02754319004343,0.00370177561791671,0.370177561791671,1989,0,636,7923,-11,NA,NA,NA,0.0802754319004343,-2.43861062249684
24,"Bolivia","BO1994DHS",1994,8603,8602.99687500065,0.118800637132616,11.8800637132616,0.0038179567800866,0.38179567800866,1989,5,1022,8603,-6,NA,NA,NA,0.118800637132616,-2.00383712191622
25,"Bolivia","BO1998DHS",1998,11187,11186.929184,0.164713947026272,16.4713947026272,0.00401753906809652,0.401753906809652,1989,9,1843,11187,-2,NA,NA,NA,0.164713947026272,-1.62356392959946
