"country","region","latest_obs_year","latest_obs_mcpr","stage_position_lastobs_mean","last_obs_rel_sat_mean","last_obs_rel_sat_p05","last_obs_rel_sat_p95","years_since_t0_lastobs_mean","years_since_t0_lastobs_p05","years_since_t0_lastobs_p95","growth_ratio_to_peak_mean","growth_ratio_to_peak_p05","growth_ratio_to_peak_p95","prob_stage1_initial","prob_stage2_diffusion","prob_stage3_plateau","s_curve_stage"
"Niger","West Africa",2012,0.109933234846429,-1.65915419004616,0.1805508007244,0.161051320016496,0.227016835170911,-21.5805865687678,-22.9471049400645,-18.096879022743,0.537723903509072,0.499481330921652,0.638070290603698,0.916833333333333,0.0831666666666667,0,"Stage 1: initial"
"Albania","Europe and Central Asia",2017,0.0281316859073467,0.952514755607249,0.405825818862763,0.371790417399939,0.436246443575037,47.6257377803624,37.1875415004314,50.9062795580624,0.802942932760662,0.779837609268679,0.873526565038137,0,1,0,"Stage 2: diffusion"
"Armenia","Europe and Central Asia",2016,0.181349671590196,-0.194990681273283,0.484633170082049,0.431360024971842,0.609532799889649,-9.74953406366417,-18.4394438497072,11.7336335979126,0.984304220326389,0.966065270792949,0.999941245069445,0,1,0,"Stage 2: diffusion"
"Benin","West Africa",2017,0.116720137394299,0.143220333185333,0.548626666712466,0.467277808767606,0.629107099144762,1.86286411308635,-1.50348344962776,5.08722131955628,0.990843335975545,0.96271160878579,0.999980726231806,0,1,0,"Stage 2: diffusion"
"Bolivia","Latin America and Carribbean",2008,0.239682537052928,-0.899351825313536,0.269134317563171,0.245140328911458,0.306819474240608,-14.747457521758,-16.7086807507751,-11.8174982286939,0.821593848593101,0.779534397567825,0.88062268421602,0,1,0,"Stage 2: diffusion"
"Brazil","Latin America and Carribbean",1996,0.51012992044576,0.0663199998275871,0.537011887813769,0.515685574283777,0.572374530274699,1.08750697198993,-0.238862229093144,3.12060591742958,0.998188191801533,0.991000322936858,0.999997915080271,0,1,0,"Stage 2: diffusion"
"Burkina Faso","West Africa",2021,0.279405982804968,-0.783543233415421,0.316640127852519,0.290880387916259,0.350880101569125,-10.1915317337825,-11.6372131743008,-8.40837467508346,0.860424066808442,0.823840096533183,0.902393442587473,0,1,0,"Stage 2: diffusion"
"Cambodia","East Asia and Pacific",2021,0.311853461296957,-0.673688364852632,0.332733969908061,0.32029668729722,0.352693793639478,-12.8581174761965,-13.8170232920173,-11.3103006892269,0.894415536026557,0.879630297305114,0.917102468031874,0,1,0,"Stage 2: diffusion"
"Colombia","Latin America and Carribbean",2015,0.614425073645046,1.15348695347854,0.764004492181291,0.750648031302204,0.777478438207677,18.9147332217805,18.0435067929338,19.7891137100259,0.729268611611463,0.708974310416939,0.749345777877707,0,1,0,"Stage 2: diffusion"
"Congo","Central Africa",2011,0.222894903296517,0.54587761804618,0.633829957593096,0.554011218254743,0.714632977500777,3.21980298304678,1.55118350680216,4.89977395569815,0.925257142793339,0.845547791598182,0.982907230003051,0,1,0,"Stage 2: diffusion"
"Cote d'Ivoire","West Africa",2021,0.190186155243145,0.850169697573952,0.707811836763035,0.657136761626749,0.758896180211461,11.0581408688287,8.8883292412225,13.2010731347591,0.838247719567143,0.781009094166424,0.891777257683275,0,1,0,"Stage 2: diffusion"
"Ethiopia","East/Southern Africa",2019,0.280777731318228,0.676373216713163,0.638401727164673,0.60599691873824,0.671549032521069,4.89179526152109,4.18278075651079,5.58173949837173,0.893440830432811,0.864717893915831,0.920830527892693,0,1,0,"Stage 2: diffusion"
"Gambia","West Africa",2019,0.122295761745874,-1.1563383686494,0.261601663383597,0.241461296680148,0.302599236171096,-15.0404708719277,-15.9562017361013,-12.6266722178,0.728007087485925,0.701342703195571,0.797011554416022,0,1,0,"Stage 2: diffusion"
"Ghana","West Africa",2022,0.234376863828137,1.23775993359171,0.794013282323144,0.756214342541591,0.832970402942037,16.0995195976843,14.5830868251467,17.6546808582014,0.69705854810075,0.651134100920866,0.741516442944434,0,1,0,"Stage 2: diffusion"
"Guatemala","Latin America and Carribbean",2015,0.322147069261597,0.796472678910623,0.688405087750592,0.65721815041048,0.719981714014957,13.0604582865891,11.2825811738701,14.807459202807,0.856414989478013,0.820956165366261,0.89039486826488,0,1,0,"Stage 2: diffusion"
"Guinea","West Africa",2018,0.114285827113167,0.344059591273572,0.624446374651421,0.517761285067534,0.730629448522179,4.47517647174648,0.267240084805542,8.58139759821141,0.965026610654252,0.898615130782899,0.99954508211516,0,1,0,"Stage 2: diffusion"
"Haiti","Latin America and Carribbean",2016,0.222619542901631,0.560535109235061,0.613574893701674,0.564088943420615,0.662649593046528,9.19158384986449,6.38501228600849,12.0212998810787,0.923974565173947,0.876819457837466,0.963033351152045,0,1,0,"Stage 2: diffusion"
"Honduras","Latin America and Carribbean",2011,0.429215182049415,0.77988176747537,0.684563819383502,0.613318924367337,0.755090325945508,12.7884026185491,7.97712909997013,17.7933236985975,0.859291393664565,0.755058557481664,0.943093609335295,0,1,0,"Stage 2: diffusion"
