"country","region","decision_year","p_2026_mean","stage_position_2026_mean","rel_sat_2026_mean","years_since_t0_2026_mean","growth_ratio_to_peak_2026_mean","prob_stage1_initial_2026","prob_stage2_diffusion_2026","prob_stage3_plateau_2026","s_curve_stage_2026"
"Albania","Europe and Central Asia",2026,0.0524671169626195,1.13251475560725,0.756025460358396,56.6257377803624,0.736906697417598,0,1,0,"Stage 2: diffusion"
"Armenia","Europe and Central Asia",2026,0.187798967029479,0.00500931872671667,0.501100792698439,0.250465936335833,0.993729773591462,0,1,0,"Stage 2: diffusion"
"Benin","West Africa",2026,0.1486430770775,0.8351564704554,0.696757764945986,10.8628641130863,0.842175869392003,0,1,0,"Stage 2: diffusion"
"Bolivia","Latin America and Carribbean",2026,0.489988451007451,0.198351479256748,0.549342362320058,3.252542478242,0.988736850217984,0,1,0,"Stage 2: diffusion"
"Burkina Faso","West Africa",2026,0.354586958449312,-0.399134268265384,0.401616902430454,-5.19153173378252,0.960317404190278,0,1,0,"Stage 2: diffusion"
"Cambodia","East Asia and Pacific",2026,0.373573380313239,-0.411718303488754,0.398528062985166,-7.85811747619654,0.958542736376976,0,1,0,"Stage 2: diffusion"
"Gambia","West Africa",2026,0.163945286307124,-0.618165817439348,0.350352133024519,-8.04047087192769,0.909406236873711,0,1,0,"Stage 2: diffusion"
"Haiti","Latin America and Carribbean",2026,0.277013512487999,1.17037027844077,0.762838005918937,19.1915838498645,0.722633646450065,0,1,0,"Stage 2: diffusion"
"Kazakhstan","Europe and Central Asia",2026,0.459819326372139,0.689543168108076,0.661770314172217,34.4771584054038,0.872993417452684,0,1,0,"Stage 2: diffusion"
"Kyrgyz Republic","Europe and Central Asia",2026,0.294757119557558,1.17616150390302,0.764228722282162,58.8080751951508,0.72065344229899,0,1,0,"Stage 2: diffusion"
"Mali","West Africa",2026,0.199903846742439,0.249301844989149,0.561912787150471,3.2426642923357,0.983197475728191,0,1,0,"Stage 2: diffusion"
"Niger","West Africa",2026,0.21892235503363,-0.58280908762606,0.358595381741812,-7.58058656876779,0.917753322245499,0,1,0,"Stage 2: diffusion"
"Senegal","West Africa",2026,0.217015514053292,0.562037753032315,0.63680615146001,7.31041422008652,0.924341290808265,0,1,0,"Stage 2: diffusion"
"Sierra Leone","West Africa",2026,0.351077519272969,-0.279651759932784,0.430757542241612,-3.63742505099529,0.977519729006607,0,1,0,"Stage 2: diffusion"
"Tajikistan","Europe and Central Asia",2026,0.212964593736981,0.0629203529814542,0.515205686347457,3.14601764907271,0.988099245403197,0,1,0,"Stage 2: diffusion"
"Togo","West Africa",2026,0.263966844789618,0.715639276974717,0.670656589349885,9.30830628124657,0.878270483630666,0,1,0,"Stage 2: diffusion"
