"X","country","survey_id","year","n_rows","n_women","mCPR","mCPR_pct","se_mCPR","se_mCPR_pct","year_first","t_rel","y","n","year_center","p_hat","y_hat","pearson_resid","p_hat_clipped","logit_mCPR","row_id","region","region_prior","s_region_fixed","prob_error","prev_year","prev_mcpr","obs_growth_annual","interval_mid_year"
4,"Angola","AO2023DHS",2023,14717,14716.9999869999,0.139111969545999,13.9111969545999,0.00412627408969718,0.412627408969718,2015,8,2047,14717,23,0.138618179393114,2040.04374612845,0.165942577811417,0.138618179393114,-1.82268530487811,4,"East/Southern Africa","ESA",7.23239055102267,0.000493790152885393,2015,0.124655857497596,0.00180701400605037,2019
19,"Benin","BJ2001DHS",2001,6219,6218.99987499994,0.0695093249217995,6.95093249217995,0.00325103928235206,0.325103928235206,1996,5,432,6219,1,0.0537423918089711,334.223934659991,5.49805513387632,0.0537423918089711,-2.59425113951508,19,"West Africa","WAF",13.006980724418,0.0157669331128284,1996,0.0335413654195421,0.00719359190045148,1998.5
20,"Benin","BJ2006DHS",2006,17794,17794.0000529997,0.0685032962442029,6.85032962442029,0.00196292378941792,0.196292378941792,1996,10,1219,17794,6,0.0705572432535565,1255.49558645378,-1.06836936908462,0.0705572432535565,-2.6099107869305,20,"West Africa","WAF",13.006980724418,-0.00205394700935356,2001,0.0695093249217995,-0.000201205735519319,2003.5
21,"Benin","BJ2012DHS",2012,16599,16599.0000870003,0.0895049630828992,8.95049630828992,0.00237443360108904,0.237443360108904,1996,16,1486,16599,12,0.0936900401706044,1555.16097679186,-1.84219274240663,0.0936900401706044,-2.31969437102704,21,"West Africa","WAF",13.006980724418,-0.0041850770877052,2006,0.0685032962442029,0.00350027780644938,2009
22,"Benin","BJ2017DHS",2017,15928,15928.000005,0.116720137394299,11.6720137394299,0.00273304661562655,0.273304661562655,1996,21,1859,15928,17,0.114087321640866,1817.18285909572,1.04222038149714,0.114087321640866,-2.02386301423962,22,"West Africa","WAF",13.006980724418,0.0026328157534329,2012,0.0895049630828992,0.00544303486227996,2014.5
32,"Burkina Faso","BF1999DHS",1999,6445,6444.99919000077,0.0583039868465759,5.83039868465759,0.00300510031294355,0.300510031294355,1993,6,376,6445,-1,0.0685842185409976,442.02528849673,-3.25398055465425,0.0685842185409976,-2.78201204280079,32,"West Africa","WAF",13.006980724418,-0.0102802316944217,1993,0.0402622432852042,0.00300695726022862,1996
33,"Burkina Faso","BF2003DHS",2003,12477,12476.9999200002,0.0981869029297853,9.81869029297853,0.00320482744510748,0.320482744510748,1993,10,1225,12477,3,0.0907365602962312,1132.12006281608,2.89488159480776,0.0907365602962312,-2.2175344540567,33,"West Africa","WAF",13.006980724418,0.00745034263355414,1999,0.0583039868465759,0.00997072902080235,2001
34,"Burkina Faso","BF2010DHS",2010,17087,17086.9995889995,0.142598207269148,14.2598207269148,0.00294968204304259,0.294968204304259,1993,17,2437,17087,10,0.144798394838162,2474.17017259968,-0.808063593680568,0.144798394838162,-1.79387570889769,34,"West Africa","WAF",13.006980724418,-0.00220018756901416,2003,0.0981869029297853,0.00634447204848038,2006.5
35,"Burkina Faso","BF2021DHS",2021,17659,17658.9999879997,0.279405982804968,27.9405982804968,0.00380633718966045,0.380633718966045,1993,28,4934,17659,21,0.27690874476537,4889.93152381166,0.741105591867294,0.27690874476537,-0.947410036107656,35,"West Africa","WAF",13.006980724418,0.00249723803959828,2010,0.142598207269148,0.0124370705032564,2015.5
37,"Burundi","BU2010DHS",2010,9389,9389.00024700017,0.110031152499977,11.0031152499977,0.00361967243912747,0.361967243912747,1987,23,1033,9389,10,0.110182098116615,1034.4997192169,-0.0494304083696194,0.110182098116615,-2.09042292906179,37,"East/Southern Africa","ESA",7.23239055102267,-0.000150945616638101,1987,0.010268521410579,0.00433750569953904,1998.5
38,"Burundi","BU2016DHS",2016,17269,17268.9995069995,0.14574983802506,14.574983802506,0.00299713073494096,0.299713073494096,1987,29,2517,17269,16,0.145814587646276,2518.07211406354,-0.0231169660932989,0.145814587646276,-1.76833236669644,38,"East/Southern Africa","ESA",7.23239055102267,-6.47496212159704e-05,2010,0.110031152499977,0.0059531142541805,2013
